Index,avg_price_per_kg
1,10.981404735234424
2,12.2399316788138
3,10.025278520377162
4,8.660322437742327
5,7.975060484259897
6,4.628780797953823
7,3.6871705728158837
8,7.623023465452585
9,8.572979485454345
10,9.303905154374727
11,4.786989887124844
12,5.621535482725587
13,8.639339603102743
14,4.3419007882700935
15,4.6156795450195265
16,6.156170207638219
17,7.326597664934508
18,4.530257913879747
19,10.862928089186806
20,6.028864664203643
21,5.843236904674251
22,4.747298355760455
23,5.534884748006091
24,7.816808650657937
25,5.5042226339621
26,6.23441904862055
27,7.709219204013213
28,8.018705924429879
29,7.439632002046747
30,7.1370921966383465
31,7.869631351946744
32,5.529777227286776
33,9.215966053860605
34,7.694271901794164
35,4.731239348894622
36,9.914280077294109
37,10.975525036691103
38,11.481525598701007
39,6.195960558697714
40,6.759291148418903
41,8.938334125248073
42,7.694620811523113
43,4.982609197985063
44,6.286073628001029
45,5.574308677608342
46,5.11435418319224
47,5.028630062641336
48,5.521624378829698
49,6.114685729834331
50,5.168152813286182
51,1.2996085236846275
52,6.295877123217719
53,6.6002193560921745
54,13.93655642012476
55,8.832457168393745
56,4.860743204971833
57,11.992251389795499
58,9.310820567012096
59,8.045533311737113
60,5.954213750524511
61,7.928254504977002
62,11.105871231158686
63,6.1987178158555185
64,9.209074351484666
65,5.62080634251979
66,5.983705382112042
67,6.797732552968143
68,4.918230976764143
69,5.403269921105696
70,7.1808829389223625
71,5.517561683242256
72,4.761564382584568
73,3.080952616543686
74,8.34496237723559
75,6.854826332714001
76,5.02474396094944
77,6.067895067995796
78,9.382920391362598
79,10.95609036184677
80,6.317729606529009
81,7.106259248429438
82,5.047976617909892
83,6.277612360078134
84,5.735681586187981
85,1.1117009139448117
86,5.536418362199067
87,7.327623501071516
88,11.577837355650722
89,4.588228344339304
90,6.86306551146263
91,9.585033299405925
92,9.71136490318885
93,8.014676880129773
94,6.041093780095029
95,6.071736699076659
96,6.334640717429179
97,8.408814295160248
98,9.226889870079752
99,6.980808309961543
100,5.607678383393227
101,11.112210067809722
102,6.292643531232533
103,6.2195025072778884
104,7.718498707215443
105,7.577467572385282
106,8.54601184399069
107,7.625940121228537
108,2.7484506733960563
109,10.000701958255739
110,4.844732742383756
111,4.079485330587528
112,7.773653466549894
113,6.072696979644913
114,4.1245258558348326
115,7.034059631037626
116,10.040261299628307
117,5.257296346949465
118,9.183508610090147
119,4.462521588532085
120,6.972509484875263
121,6.009184647101662
122,4.123491107255188
123,9.831321985680733
124,4.442376546554909
125,8.59278270947463
126,7.627036496391753
127,4.676562847367571
128,8.873498656764768
129,9.792442853977972
130,5.884209454611933
131,7.104114720392033
132,5.731698647708994
133,9.169978765568295
134,8.554089421076812
135,1.238398196203049
136,6.182697800289817
137,7.769580319441039
138,7.135093427755795
139,7.723523298429456
140,5.430720433722943
141,7.992252589613251
142,5.447845392618547
143,9.023339314400207
144,4.7253892295223645
145,8.974316579342014
146,6.69841900792047
147,5.41737174044982
148,7.8491811316235305
149,5.61435753937534
150,8.121073762256927
151,9.983430940883778
152,8.038960757617884
153,4.6862471735468
154,8.358369629010106
155,7.194943993469186
156,11.020296907615732
157,5.325075456930755
158,4.316421044825509
159,6.021900467823846
160,6.136388182597801
161,8.04562568886812
162,9.71948240643515
163,6.3605617151286085
164,8.541252699583625
165,7.790455924335728
166,8.351228145395249
167,7.802448473737496
168,6.764336849603392
169,5.115046501241106
170,7.591079335115461
171,8.475425479267457
172,6.52313327998181
173,5.1328181921939136
174,11.819085481337906
175,6.076351235328571
176,4.607727877818112
177,8.067063515852606
178,5.408810416639079
179,6.0965287507314985
180,7.492810456466787
181,5.022592004124784
182,0.3281440716161467
183,10.204678545839922
184,7.494103461829621
185,7.166381884079676
186,0.27793391206624013
187,5.0777148138033
188,9.847500744297928
189,6.4523960001181635
190,5.945901897263024
191,5.480659500401216
192,9.423993308964171
193,4.844389289289648
194,4.560870709630233
195,10.004425505827456
196,8.710648292503587
197,8.898665488262777
198,7.000083994973842
199,6.003658968342388
200,7.867990096733454
201,7.59058820438708
202,3.030653094929187
203,7.855716250373454
204,1.598221432164556
205,6.414708573949661
206,4.1108958872135695
207,8.112327674353978
208,7.804842547009294
209,7.894945174856114
210,8.304002589441085
211,7.3397403058228345
212,14.738756577865564
213,5.4817854182655426
214,5.861216028150419
215,9.726280342654343
216,5.5624261662331005
217,5.9279267382400604
218,5.599696729906957
219,10.784732592223747
220,7.204305143549383
221,5.575085721936807
222,5.178837715634999
223,8.662409785923717
224,10.966872142443211
225,11.735898065562088
226,6.6805032122932255
227,5.72686249408535
228,5.677337878686893
229,8.970721721735602
230,5.50341604949419
231,4.80059835001207
232,9.89229356896117
233,7.662694368717687
234,5.487599300886804
235,6.68122558424491
236,6.1397665404161526
237,9.151616503509596
238,8.71552395293906
239,4.120402638438516
240,5.416905148860768
241,4.373734319251644
242,5.164617637973268
243,6.544563633232752
244,8.161639199965144
245,10.854091231655264
246,6.964109295962226
247,5.6942060747659395
248,7.642445218193883
249,5.170872528972933
250,9.240154807420973
251,7.774870952921257
252,9.694148321321165
253,4.9686283848371
254,4.8241666573854936
255,6.68247429397086
256,4.492336230821188
257,7.134176576155593
258,9.22153430261786
259,9.41583998882408
260,8.46429854355092
261,10.62857326537801
262,10.591702256435063
263,6.2389468040076235
264,5.959465504236741
265,5.0856469741392205
266,7.258404330581422
267,5.121827071111907
268,6.436862807623108
269,4.156430924315013
270,6.74735762757978
271,8.756995970671266
272,6.6973403473767865
273,10.719368110955463
274,1.4178575845983385
275,7.741796203872038
276,10.11996575528477
277,5.2038686791844695
278,6.696597789552721
279,6.055148471277248
280,7.98893955039784
281,5.2518043812446065
282,6.00301652539699
283,6.271167895573122
284,4.175218096594988
285,9.366354224494934
286,4.5643878705898135
287,6.037831157054745
288,5.445613268337439
289,8.150066480914655
290,8.630376340876726
291,6.112089530086224
292,5.909657338538276
293,5.424089727480267
294,1.2336370485927832
295,6.679857861573706
296,6.924703611016847
297,8.579886453039585
298,8.435502008789372
299,7.728741006684135
300,7.165219197556995
301,5.545746103115239
302,6.141445763353464
303,4.199246576611518
304,6.243932976930428
305,8.531981779796526
306,9.131924438800626
307,5.357355293299704
308,3.7016657627430942
309,8.376672843381124
310,6.1034626954038815
311,6.115796371881415
312,7.347409485473764
313,5.131230070742398
314,8.635778200526847
315,10.582571061123243
316,8.729718255874625
317,6.095093688715033
318,5.206291646494861
319,5.4977105725063
320,6.7413053254248485
321,6.1527896177839505
322,6.683412845027938
323,4.153008417190065
324,7.861052505902405
325,5.016071988642711
326,3.8418010858882847
327,7.538833639541636
328,5.927040169317943
329,10.81095142824696
330,7.60091440075281
331,5.373825703482825
332,5.306482772268569
333,9.266831812381737
334,6.1195299658542375
335,8.196705628403256
336,8.062934762447254
337,8.949346515459666
338,6.674487626815868
339,7.473427067548787
340,4.621402901139232
341,6.6147403147925585
342,5.484463013111733
343,8.96481187660092
344,6.862035832781954
